product_id,role,path,file_format,n_files,sky_components,corruptions,generator
chunked_ideal_eor,ideal_sim,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/chunked-ideal-sims/eor-grf-1024,uvh5,8640,eor_21cm_grf_nside1024,none (beam only),hera_sim FFTVis (pyuvdata 3.1.1.dev7)
chunked_ideal_gsm,ideal_sim,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/chunked-ideal-sims/gsm_nside1024,uvh5,8640,diffuse_gsm08_nside1024,none (beam only),hera_sim FFTVis (pyuvdata 3.0.1.dev98)
chunked_ideal_ptsrc,ideal_sim,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/chunked-ideal-sims/ptsrc1024,uvh5,8640,ptsrc_ateam_plus_uniform,none (beam only),"hera_sim FFTVis (pyuvdata 3.2.0, regenerated 2026-03)"
chunked_ideal_ptsrc_deprecated,deprecated,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/chunked-ideal-sims/ptsrc1024-original-wrong-specindex,uvh5,8641,ptsrc_ateam_plus_uniform,none (beam only),hera_sim FFTVis
sim_data_eor,mock_component,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sim_data/eor,uvh5,8640,eor_21cm,none in file; systematics added downstream per-night,"hera_sim FFTVis, downselected to core antennas"
sim_data_diffuse,mock_component,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sim_data/diffuse,uvh5,8640,diffuse_gsm08,none in file; systematics added downstream per-night,"hera_sim FFTVis, downselected to core antennas"
sim_data_ptsrc,mock_component,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sim_data/ptsrc,uvh5,8640,ptsrc_ateam_plus_uniform,none in file; systematics added downstream per-night,"hera_sim FFTVis, downselected to core antennas"
sim_data_foregrounds,mock_component,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sim_data/foregrounds,uvh5,8640,diffuse + ptsrc,none in file; systematics added downstream per-night,"hera_sim FFTVis, downselected to core antennas"
sim_data_sum,mock_component,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sim_data/sum,uvh5,8640,eor + diffuse + ptsrc,none in file; systematics added downstream per-night,"hera_sim FFTVis, downselected to core antennas"
sky_canonical_eor,sky_model,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sky_models/Canonical/eor-grf-1024,skyh5,1536,eor_21cm_grf healpix nside=1024 (1 freq/file),n/a,pyradiosky
sky_canonical_gsm,sky_model,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sky_models/Canonical/gsm_nside1024,skyh5,1536,gsm08 diffuse healpix nside=1024,n/a,pyradiosky
sky_canonical_ptsrc,sky_model,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sky_models/Canonical/ptsrc1024,skyh5,1,"12,543,077 point sources, spectral_index type",n/a,pyradiosky
sky_canonical_ptsrc_deprecated,deprecated,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sky_models/Canonical/ptsrc1024-original-wrong-specidx,skyh5,1536,point sources (superseded spectral model),n/a,pyradiosky
sky_raw,sky_model,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sky_models/raw,skyh5/h5,2,A-Team catalog; 56 GB GRF covariance,n/a,
sky_extra,sky_model_extra,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/sky_models/Extra,skyh5,,alternative resolutions/variants,n/a,pyradiosky
lstbin_LST,lstbinned_mock,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint,uvh5,4088,eor + foregrounds,"mutual coupling + thermal noise (Trx=100K) + bandpass gains (8% spread), per-night seeds; then smooth_calibrated, red_avg, LST-binned with simultaneous inpainting (500 ns min delay) and lstcal",hera_cal lst_stack (h6c_idr2_validation env); 14 nights JD 2459861-2459876
lstbin_STD,lstbinned_mock_aux,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint,uvh5,4088,(std over nights),as lstbin_LST,hera_cal lst_stack
lstbin_HIGHZ,lstbinned_mock_aux,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint,"h5 (indices,zsq)",2044,n/a,n/a,lststack QA (save_metric_data): catalogs of frequency regions with Z^2 above the predicted 99.85th percentile or inpainted
lstbin_METRICS,lstbinned_mock_aux,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint,"h5 (meta,metrics)",2044,n/a,n/a,lststack QA: cross-night Z^2 consistency reductions
lstbin_qa_notebooks,qa,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint,ipynb+html,2045,n/a,n/a,hera_opm makeflow
lstbin_configs,provenance,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint,toml/yaml/h5,4,n/a,n/a,
single_baseline_uvh5,upstream_pspec_input,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint/single_baseline_files,uvh5,884,eor + foregrounds,as lstbin_LST,"hera_cal lst_stack, rechunked per baseline; 1 auto + 883 cross baselines, 4088 LSTs x 1536 freqs each"
single_baseline_pspec,upstream_pspec,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint/single_baseline_files,pspec.h5 (PSpecContainer/UVPSpec),789,eor + foregrounds,as lstbin_LST,"hera_pspec 0.4.3.dev65 via hnote (single_baseline_postprocessing_and_pspec, h6c_pspec_14band.toml); 789 completed + 95 skipped (autos / fully flagged polarization); 14 spws, 4 pol pairs, taper bh, norm I, units (mK)^2 h^-3 Mpc^3"
mini_dataset,test_subset,/lustre/aoc/projects/hera/Validation/DataReleases/H6C-IDR2/lstbin-outputs/v3.1-simultaneous-inpaint/inpaint/mini_dataset,uvh5,5,eor + foregrounds,as lstbin_LST,hera_cal lst_stack (downsampled); 36 times x 384 freqs x 884 bls
fg_eor_sum_merged,upstream_pspec_merged,/lustre/aoc/projects/hera/Validation/H6C_IDR2/lstbin-outputs/redavg-smoothcal-inpaint-500ns-lstcal/inpaint/single_baseline_files/baselines_merged.pspec.h5,pspec.h5 (PSpecContainer/UVPSpec),1,eor + foregrounds,as lstbin_LST,"MERGE_SINGLE_BASELINE_FILES makeflow action (2025-04); 789 blpairs, 106549 bltpairs, 6177 times, 14 spws, 4 pol pairs, 31 GB"
fg_eor_sum_merged_tavg,fim_direction_pspec,/lustre/aoc/projects/hera/Validation/H6C_IDR2/lstbin-outputs/redavg-smoothcal-inpaint-500ns-lstcal/inpaint/single_baseline_files/baselines_merged.tavg.pspec.h5,pspec.h5,1,eor + foregrounds,as lstbin_LST,"MERGE_SINGLE_BASELINE_FILES makeflow action (2025-04); time_and_interleave_averaged: 789 blpairs, 42 times, pI, 79 MB"
eor_only_lstbin,lstbinned_mock_branch,/lustre/aoc/projects/hera/Validation/H6C_IDR2/lstbin-outputs/eor-only,uvh5 + pspec.h5,4045,eor only,not determined from file metadata,same lst_stack + single-baseline + pspec chain (789 completed + 95 skipped)
eor_only_merged,upstream_pspec_merged,/lustre/aoc/projects/hera/Validation/H6C_IDR2/lstbin-outputs/eor-only/single_baseline_files/baselines_merged.pspec.h5,pspec.h5,1,eor only,see eor_only_lstbin,"MERGE_SINGLE_BASELINE_FILES makeflow action (2025-04); 789 blpairs, 106485 bltpairs, 5321 times, 14 spws, 4 pol pairs, 47 GB"
eor_only_merged_tavg,fim_direction_pspec,/lustre/aoc/projects/hera/Validation/H6C_IDR2/lstbin-outputs/eor-only/single_baseline_files/baselines_merged.tavg.pspec.h5,pspec.h5,1,eor only,see eor_only_lstbin,"MERGE_SINGLE_BASELINE_FILES makeflow action (2025-04); time_and_interleave_averaged: 789 blpairs, 38 times, pI, 128 MB"
makeflow_pspec,provenance,/lustre/aoc/projects/hera/Validation/H6C_IDR2/makeflow-pspec,toml + makeflow logs/wrappers,,n/a,n/a,"hera_opm makeflow, slurm, conda env h6c_idr2_validation; per-baseline wrappers + logs for both branches incl. MERGE logs"
work_nightly,pipeline_working_area,/lustre/aoc/projects/hera/Validation/H6C_IDR2/{2459861..2459876} (14 nights),uvh5/calfits/h5/csv/html,27932,eor + foregrounds,"mutual coupling + noise + bandpass gains injected per night (configs/{jd}.yaml, hera_sim); raw zen.*.sum.uvh5 are 0-byte placeholders","MOCK_DATA makeflow action (h6c_analysis_validation.mf -> do_MOCK_DATA.sh -> mock_data.py): reads ideal sim_data/sum, uses real H6C files as time/metadata reference, applies coupling -> noise -> bandpass via hera_sim.Simulator.add(); then full H6C calibration pipeline (omnical, smoothcal, red_avg)"
work_configs,provenance,/lustre/aoc/projects/hera/Validation/H6C_IDR2/configs,yaml/npz,,n/a,"defines them: MutualCoupling (coupling matrix), thermal_noise (Trx=100K, seeded), bandpass_gain (8% spread, tanh band edges, per-night seed)",hera_sim config YAMLs
